st,CYQ,year,quarter,Loans,LPCE,LPCTW,Bond_Amount,Bond_Date
AK,1971.1,1971,1,NA,NA,NA,NA,NA
AK,1971.2,1971,2,NA,NA,NA,NA,NA
AK,1971.3,1971,3,NA,NA,NA,NA,NA
AK,1971.4,1971,4,NA,NA,NA,NA,NA
AK,1972.1,1972,1,NA,NA,NA,NA,NA
AK,1972.2,1972,2,NA,NA,NA,NA,NA
AK,1972.3,1972,3,NA,NA,NA,NA,NA
AK,1972.4,1972,4,NA,NA,NA,NA,NA
AK,1973.1,1973,1,NA,NA,NA,NA,NA
AK,1973.2,1973,2,NA,NA,NA,NA,NA
AK,1973.3,1973,3,NA,NA,NA,NA,NA
AK,1973.4,1973,4,NA,NA,NA,NA,NA
AK,1974.1,1974,1,NA,NA,NA,NA,NA
AK,1974.2,1974,2,NA,NA,NA,NA,NA
AK,1974.3,1974,3,NA,NA,NA,NA,NA
AK,1974.4,1974,4,NA,NA,NA,NA,NA
AK,1975.1,1975,1,NA,NA,NA,NA,NA
AK,1975.2,1975,2,NA,NA,NA,NA,NA
AK,1975.3,1975,3,NA,NA,NA,NA,NA
AK,1975.4,1975,4,NA,NA,NA,NA,NA
AK,1976.1,1976,1,NA,NA,NA,NA,NA
AK,1976.2,1976,2,NA,NA,NA,NA,NA
AK,1976.3,1976,3,NA,NA,NA,NA,NA
AK,1976.4,1976,4,NA,NA,NA,NA,NA
AK,1977.1,1977,1,NA,NA,NA,NA,NA
AK,1977.2,1977,2,NA,NA,NA,NA,NA
AK,1977.3,1977,3,NA,NA,NA,NA,NA
AK,1977.4,1977,4,NA,NA,NA,NA,NA
AK,1978.1,1978,1,NA,NA,NA,NA,NA
AK,1978.2,1978,2,NA,NA,NA,NA,NA
AK,1978.3,1978,3,NA,NA,NA,NA,NA
AK,1978.4,1978,4,NA,NA,NA,NA,NA
AK,1979.1,1979,1,NA,NA,NA,NA,NA
AK,1979.2,1979,2,NA,NA,NA,NA,NA
AK,1979.3,1979,3,NA,NA,NA,NA,NA
AK,1979.4,1979,4,NA,NA,NA,NA,NA
AK,1980.1,1980,1,NA,NA,NA,NA,NA
AK,1980.2,1980,2,NA,NA,NA,NA,NA
AK,1980.3,1980,3,NA,NA,NA,NA,NA
AK,1980.4,1980,4,NA,NA,NA,NA,NA
AK,1981.1,1981,1,NA,NA,NA,NA,NA
AK,1981.2,1981,2,NA,NA,NA,NA,NA
AK,1981.3,1981,3,NA,NA,NA,NA,NA
AK,1981.4,1981,4,NA,NA,NA,NA,NA
AK,1982.1,1982,1,NA,NA,NA,NA,NA
AK,1982.2,1982,2,NA,NA,NA,NA,NA
AK,1982.3,1982,3,NA,NA,NA,NA,NA
AK,1982.4,1982,4,NA,NA,NA,NA,NA
AK,1983.1,1983,1,NA,NA,NA,NA,NA
AK,1983.2,1983,2,NA,NA,NA,NA,NA
AK,1983.3,1983,3,NA,NA,NA,NA,NA
AK,1983.4,1983,4,NA,NA,NA,NA,NA
AK,1984.1,1984,1,NA,NA,NA,NA,NA
AK,1984.2,1984,2,NA,NA,NA,NA,NA
AK,1984.3,1984,3,NA,NA,NA,NA,NA
AK,1984.4,1984,4,NA,NA,NA,NA,NA
AK,1985.1,1985,1,NA,NA,NA,NA,NA
AK,1985.2,1985,2,NA,NA,NA,NA,NA
AK,1985.3,1985,3,NA,NA,NA,NA,NA
AK,1985.4,1985,4,NA,NA,NA,NA,NA
AK,1986.1,1986,1,NA,NA,NA,NA,NA
AK,1986.2,1986,2,NA,NA,NA,NA,NA
AK,1986.3,1986,3,NA,NA,NA,NA,NA
AK,1986.4,1986,4,NA,NA,NA,NA,NA
AK,1987.1,1987,1,NA,NA,NA,NA,NA
AK,1987.2,1987,2,NA,NA,NA,NA,NA
AK,1987.3,1987,3,NA,NA,NA,NA,NA
AK,1987.4,1987,4,NA,NA,NA,NA,NA
AK,1988.1,1988,1,NA,NA,NA,NA,NA
AK,1988.2,1988,2,NA,NA,NA,NA,NA
AK,1988.3,1988,3,NA,NA,NA,NA,NA
AK,1988.4,1988,4,NA,NA,NA,NA,NA
AK,1989.1,1989,1,NA,NA,NA,NA,NA
AK,1989.2,1989,2,NA,NA,NA,NA,NA
AK,1989.3,1989,3,NA,NA,NA,NA,NA
AK,1989.4,1989,4,NA,NA,NA,NA,NA
AK,1990.1,1990,1,NA,NA,NA,NA,NA
AK,1990.2,1990,2,NA,NA,NA,NA,NA
AK,1990.3,1990,3,NA,NA,NA,NA,NA
AK,1990.4,1990,4,NA,NA,NA,NA,NA
AK,1991.1,1991,1,NA,NA,NA,NA,NA
AK,1991.2,1991,2,NA,NA,NA,NA,NA
AK,1991.3,1991,3,NA,NA,NA,NA,NA
AK,1991.4,1991,4,NA,NA,NA,NA,NA
AK,1992.1,1992,1,NA,NA,NA,NA,NA
AK,1992.2,1992,2,NA,NA,NA,NA,NA
AK,1992.3,1992,3,NA,NA,NA,NA,NA
AK,1992.4,1992,4,NA,NA,NA,NA,NA
AK,1993.1,1993,1,NA,NA,NA,NA,NA
AK,1993.2,1993,2,NA,NA,NA,NA,NA
AK,1993.3,1993,3,NA,NA,NA,NA,NA
AK,1993.4,1993,4,NA,NA,NA,NA,NA
AK,1994.1,1994,1,NA,NA,NA,NA,NA
AK,1994.2,1994,2,NA,NA,NA,NA,NA
AK,1994.3,1994,3,NA,NA,NA,NA,NA
AK,1994.4,1994,4,NA,NA,NA,NA,NA
AK,1995.1,1995,1,NA,NA,NA,NA,NA
AK,1995.2,1995,2,NA,NA,NA,NA,NA
AK,1995.3,1995,3,NA,NA,NA,NA,NA
AK,1995.4,1995,4,NA,NA,NA,NA,NA
AK,1996.1,1996,1,NA,NA,NA,NA,NA
AK,1996.2,1996,2,NA,NA,NA,NA,NA
AK,1996.3,1996,3,NA,NA,NA,NA,NA
AK,1996.4,1996,4,NA,NA,NA,NA,NA
AK,1997.1,1997,1,NA,NA,NA,NA,NA
AK,1997.2,1997,2,NA,NA,NA,NA,NA
AK,1997.3,1997,3,NA,NA,NA,NA,NA
AK,1997.4,1997,4,NA,NA,NA,NA,NA
AK,1998.1,1998,1,NA,NA,NA,NA,NA
AK,1998.2,1998,2,NA,NA,NA,NA,NA
AK,1998.3,1998,3,NA,NA,NA,NA,NA
AK,1998.4,1998,4,NA,NA,NA,NA,NA
AK,1999.1,1999,1,NA,NA,NA,NA,NA
AK,1999.2,1999,2,NA,NA,NA,NA,NA
AK,1999.3,1999,3,NA,NA,NA,NA,NA
AK,1999.4,1999,4,NA,NA,NA,NA,NA
AK,2000.1,2000,1,NA,NA,NA,NA,NA
AK,2000.2,2000,2,NA,NA,NA,NA,NA
AK,2000.3,2000,3,NA,NA,NA,NA,NA
AK,2000.4,2000,4,NA,NA,NA,NA,NA
AK,2001.1,2001,1,NA,NA,NA,NA,NA
AK,2001.2,2001,2,NA,NA,NA,NA,NA
AK,2001.3,2001,3,NA,NA,NA,NA,NA
AK,2001.4,2001,4,NA,NA,NA,NA,NA
AK,2002.1,2002,1,NA,NA,NA,NA,NA
AK,2002.2,2002,2,NA,NA,NA,NA,NA
AK,2002.3,2002,3,NA,NA,NA,NA,NA
AK,2002.4,2002,4,NA,NA,NA,NA,NA
AK,2003.1,2003,1,0,0,0,NA,NA
AK,2003.2,2003,2,0,0,0,NA,NA
AK,2003.3,2003,3,0,0,0,NA,NA
AK,2003.4,2003,4,0,0,0,NA,NA
AK,2004.1,2004,1,0,0,0,NA,NA
AK,2004.2,2004,2,0,0,0,NA,NA
AK,2004.3,2004,3,0,0,0,NA,NA
AK,2004.4,2004,4,0,0,0,NA,NA
AK,2005.1,2005,1,0,0,0,NA,NA
AK,2005.2,2005,2,0,0,0,NA,NA
AK,2005.3,2005,3,0,0,0,NA,NA
AK,2005.4,2005,4,0,0,0,NA,NA
AK,2006.1,2006,1,0,0,0,NA,NA
AK,2006.2,2006,2,0,0,0,NA,NA
AK,2006.3,2006,3,0,0,0,NA,NA
AK,2006.4,2006,4,0,0,0,NA,NA
AK,2007.1,2007,1,0,0,0,NA,NA
AK,2007.2,2007,2,0,0,0,NA,NA
AK,2007.3,2007,3,0,0,0,NA,NA
AK,2007.4,2007,4,0,0,0,NA,NA
AK,2008.1,2008,1,0,0,0,NA,NA
AK,2008.2,2008,2,0,0,0,NA,NA
AK,2008.3,2008,3,0,0,0,NA,NA
AK,2008.4,2008,4,0,0,0,NA,NA
AK,2009.1,2009,1,0,0,0,NA,NA
AK,2009.2,2009,2,0,0,0,NA,NA
AK,2009.3,2009,3,0,0,0,NA,NA
AK,2009.4,2009,4,0,0,0,NA,NA
AK,2010.1,2010,1,0,0,0,NA,NA
AK,2010.2,2010,2,0,0,0,NA,NA
AK,2010.3,2010,3,0,0,0,NA,NA
AK,2010.4,2010,4,0,0,0,NA,NA
AK,2011.1,2011,1,0,0,0,NA,NA
AK,2011.2,2011,2,0,0,0,NA,NA
AK,2011.3,2011,3,0,0,0,NA,NA
AK,2011.4,2011,4,0,0,0,NA,NA
AK,2012.1,2012,1,0,0,0,NA,NA
AK,2012.2,2012,2,0,0,0,NA,NA
AK,2012.3,2012,3,0,0,0,NA,NA
AK,2012.4,2012,4,0,0,0,NA,NA
AK,2013.1,2013,1,0,0,0,NA,NA
AK,2013.2,2013,2,0,0,0,NA,NA
AK,2013.3,2013,3,0,0,0,NA,NA
AK,2013.4,2013,4,0,0,0,NA,NA
AK,2014.1,2014,1,0,0,0,0,N.A.
AK,2014.2,2014,2,0,0,0,0,N.A.
AK,2014.3,2014,3,0,0,0,0,N.A.
AK,2014.4,2014,4,0,0,0,0,N.A.
AK,2015.1,2015,1,0,0,0,0,N.A.
AK,2015.2,2015,2,0,0,0,0,N.A.
AK,2015.3,2015,3,0,0,0,0,N.A.
AK,2015.4,2015,4,0,0,0,0,N.A.
AK,2016.1,2016,1,0,0,0,0,N.A.
AK,2016.2,2016,2,0,0,0,0,N.A.
AK,2016.3,2016,3,0,0,0,0,N.A.
AK,2016.4,2016,4,0,0,0,0,N.A.
AK,2017.1,2017,1,0,0,0,0,N.A.
AK,2017.2,2017,2,0,0,0,0,N.A.
AK,2017.3,2017,3,0,0,0,0,N.A.
AK,2017.4,2017,4,0,0,0,0,N.A.
AK,2018.1,2018,1,0,0,0,0,N.A.
AL,1971.1,1971,1,NA,NA,NA,NA,NA
AL,1971.2,1971,2,NA,NA,NA,NA,NA
AL,1971.3,1971,3,NA,NA,NA,NA,NA
AL,1971.4,1971,4,NA,NA,NA,NA,NA
AL,1972.1,1972,1,NA,NA,NA,NA,NA
AL,1972.2,1972,2,NA,NA,NA,NA,NA
AL,1972.3,1972,3,NA,NA,NA,NA,NA
AL,1972.4,1972,4,NA,NA,NA,NA,NA
AL,1973.1,1973,1,NA,NA,NA,NA,NA
AL,1973.2,1973,2,NA,NA,NA,NA,NA
AL,1973.3,1973,3,NA,NA,NA,NA,NA
AL,1973.4,1973,4,NA,NA,NA,NA,NA
AL,1974.1,1974,1,NA,NA,NA,NA,NA
AL,1974.2,1974,2,NA,NA,NA,NA,NA
AL,1974.3,1974,3,NA,NA,NA,NA,NA
AL,1974.4,1974,4,NA,NA,NA,NA,NA
AL,1975.1,1975,1,NA,NA,NA,NA,NA
AL,1975.2,1975,2,NA,NA,NA,NA,NA
AL,1975.3,1975,3,NA,NA,NA,NA,NA
AL,1975.4,1975,4,NA,NA,NA,NA,NA
AL,1976.1,1976,1,NA,NA,NA,NA,NA
AL,1976.2,1976,2,NA,NA,NA,NA,NA
AL,1976.3,1976,3,NA,NA,NA,NA,NA
AL,1976.4,1976,4,NA,NA,NA,NA,NA
AL,1977.1,1977,1,NA,NA,NA,NA,NA
AL,1977.2,1977,2,NA,NA,NA,NA,NA
AL,1977.3,1977,3,NA,NA,NA,NA,NA
AL,1977.4,1977,4,NA,NA,NA,NA,NA
AL,1978.1,1978,1,NA,NA,NA,NA,NA
AL,1978.2,1978,2,NA,NA,NA,NA,NA
AL,1978.3,1978,3,NA,NA,NA,NA,NA
AL,1978.4,1978,4,NA,NA,NA,NA,NA
AL,1979.1,1979,1,NA,NA,NA,NA,NA
AL,1979.2,1979,2,NA,NA,NA,NA,NA
AL,1979.3,1979,3,NA,NA,NA,NA,NA
AL,1979.4,1979,4,NA,NA,NA,NA,NA
AL,1980.1,1980,1,NA,NA,NA,NA,NA
AL,1980.2,1980,2,NA,NA,NA,NA,NA
AL,1980.3,1980,3,NA,NA,NA,NA,NA
AL,1980.4,1980,4,NA,NA,NA,NA,NA
AL,1981.1,1981,1,NA,NA,NA,NA,NA
AL,1981.2,1981,2,NA,NA,NA,NA,NA
AL,1981.3,1981,3,NA,NA,NA,NA,NA
AL,1981.4,1981,4,NA,NA,NA,NA,NA
AL,1982.1,1982,1,NA,NA,NA,NA,NA
AL,1982.2,1982,2,NA,NA,NA,NA,NA
AL,1982.3,1982,3,NA,NA,NA,NA,NA
AL,1982.4,1982,4,NA,NA,NA,NA,NA
AL,1983.1,1983,1,NA,NA,NA,NA,NA
AL,1983.2,1983,2,NA,NA,NA,NA,NA
AL,1983.3,1983,3,NA,NA,NA,NA,NA
AL,1983.4,1983,4,NA,NA,NA,NA,NA
AL,1984.1,1984,1,NA,NA,NA,NA,NA
AL,1984.2,1984,2,NA,NA,NA,NA,NA
AL,1984.3,1984,3,NA,NA,NA,NA,NA
AL,1984.4,1984,4,NA,NA,NA,NA,NA
AL,1985.1,1985,1,NA,NA,NA,NA,NA
AL,1985.2,1985,2,NA,NA,NA,NA,NA
AL,1985.3,1985,3,NA,NA,NA,NA,NA
AL,1985.4,1985,4,NA,NA,NA,NA,NA
AL,1986.1,1986,1,NA,NA,NA,NA,NA
AL,1986.2,1986,2,NA,NA,NA,NA,NA
AL,1986.3,1986,3,NA,NA,NA,NA,NA
AL,1986.4,1986,4,NA,NA,NA,NA,NA
AL,1987.1,1987,1,NA,NA,NA,NA,NA
AL,1987.2,1987,2,NA,NA,NA,NA,NA
AL,1987.3,1987,3,NA,NA,NA,NA,NA
AL,1987.4,1987,4,NA,NA,NA,NA,NA
AL,1988.1,1988,1,NA,NA,NA,NA,NA
AL,1988.2,1988,2,NA,NA,NA,NA,NA
AL,1988.3,1988,3,NA,NA,NA,NA,NA
AL,1988.4,1988,4,NA,NA,NA,NA,NA
AL,1989.1,1989,1,NA,NA,NA,NA,NA
AL,1989.2,1989,2,NA,NA,NA,NA,NA
AL,1989.3,1989,3,NA,NA,NA,NA,NA
AL,1989.4,1989,4,NA,NA,NA,NA,NA
AL,1990.1,1990,1,NA,NA,NA,NA,NA
AL,1990.2,1990,2,NA,NA,NA,NA,NA
AL,1990.3,1990,3,NA,NA,NA,NA,NA
AL,1990.4,1990,4,NA,NA,NA,NA,NA
AL,1991.1,1991,1,NA,NA,NA,NA,NA
AL,1991.2,1991,2,NA,NA,NA,NA,NA
AL,1991.3,1991,3,NA,NA,NA,NA,NA
AL,1991.4,1991,4,NA,NA,NA,NA,NA
AL,1992.1,1992,1,NA,NA,NA,NA,NA
AL,1992.2,1992,2,NA,NA,NA,NA,NA
AL,1992.3,1992,3,NA,NA,NA,NA,NA
AL,1992.4,1992,4,NA,NA,NA,NA,NA
AL,1993.1,1993,1,NA,NA,NA,NA,NA
AL,1993.2,1993,2,NA,NA,NA,NA,NA
AL,1993.3,1993,3,NA,NA,NA,NA,NA
AL,1993.4,1993,4,NA,NA,NA,NA,NA
AL,1994.1,1994,1,NA,NA,NA,NA,NA
AL,1994.2,1994,2,NA,NA,NA,NA,NA
AL,1994.3,1994,3,NA,NA,NA,NA,NA
AL,1994.4,1994,4,NA,NA,NA,NA,NA
AL,1995.1,1995,1,NA,NA,NA,NA,NA
AL,1995.2,1995,2,NA,NA,NA,NA,NA
AL,1995.3,1995,3,NA,NA,NA,NA,NA
AL,1995.4,1995,4,NA,NA,NA,NA,NA
AL,1996.1,1996,1,NA,NA,NA,NA,NA
AL,1996.2,1996,2,NA,NA,NA,NA,NA
AL,1996.3,1996,3,NA,NA,NA,NA,NA
AL,1996.4,1996,4,NA,NA,NA,NA,NA
AL,1997.1,1997,1,NA,NA,NA,NA,NA
AL,1997.2,1997,2,NA,NA,NA,NA,NA
AL,1997.3,1997,3,NA,NA,NA,NA,NA
AL,1997.4,1997,4,NA,NA,NA,NA,NA
AL,1998.1,1998,1,NA,NA,NA,NA,NA
AL,1998.2,1998,2,NA,NA,NA,NA,NA
AL,1998.3,1998,3,NA,NA,NA,NA,NA
AL,1998.4,1998,4,NA,NA,NA,NA,NA
AL,1999.1,1999,1,NA,NA,NA,NA,NA
AL,1999.2,1999,2,NA,NA,NA,NA,NA
AL,1999.3,1999,3,NA,NA,NA,NA,NA
AL,1999.4,1999,4,NA,NA,NA,NA,NA
AL,2000.1,2000,1,NA,NA,NA,NA,NA
AL,2000.2,2000,2,NA,NA,NA,NA,NA
AL,2000.3,2000,3,NA,NA,NA,NA,NA
AL,2000.4,2000,4,NA,NA,NA,NA,NA
AL,2001.1,2001,1,NA,NA,NA,NA,NA
AL,2001.2,2001,2,NA,NA,NA,NA,NA
AL,2001.3,2001,3,NA,NA,NA,NA,NA
AL,2001.4,2001,4,NA,NA,NA,NA,NA
AL,2002.1,2002,1,NA,NA,NA,NA,NA
AL,2002.2,2002,2,NA,NA,NA,NA,NA
AL,2002.3,2002,3,NA,NA,NA,NA,NA
AL,2002.4,2002,4,NA,NA,NA,NA,NA
AL,2003.1,2003,1,0,0,0,NA,NA
AL,2003.2,2003,2,0,0,0,NA,NA
AL,2003.3,2003,3,0,0,0,NA,NA
AL,2003.4,2003,4,0,0,0,NA,NA
AL,2004.1,2004,1,0,0,0,NA,NA
AL,2004.2,2004,2,0,0,0,NA,NA
AL,2004.3,2004,3,0,0,0,NA,NA
AL,2004.4,2004,4,0,0,0,NA,NA
AL,2005.1,2005,1,0,0,0,NA,NA
AL,2005.2,2005,2,0,0,0,NA,NA
AL,2005.3,2005,3,0,0,0,NA,NA
AL,2005.4,2005,4,0,0,0,NA,NA
AL,2006.1,2006,1,0,0,0,NA,NA
AL,2006.2,2006,2,0,0,0,NA,NA
AL,2006.3,2006,3,0,0,0,NA,NA
AL,2006.4,2006,4,0,0,0,NA,NA
AL,2007.1,2007,1,0,0,0,NA,NA
AL,2007.2,2007,2,0,0,0,NA,NA
AL,2007.3,2007,3,0,0,0,NA,NA
AL,2007.4,2007,4,0,0,0,NA,NA
AL,2008.1,2008,1,0,0,0,NA,NA
AL,2008.2,2008,2,0,0,0,NA,NA
AL,2008.3,2008,3,0,0,0,NA,NA
AL,2008.4,2008,4,0,0,0,NA,NA
AL,2009.1,2009,1,0,0,0,NA,NA
AL,2009.2,2009,2,0,0,0,NA,NA
AL,2009.3,2009,3,26513,14.802346,0.046437841,NA,NA
AL,2009.4,2009,4,146094,81.72551406,0.2597035,NA,NA
AL,2010.1,2010,1,268832,152.5882713,0.485653205,NA,NA
AL,2010.2,2010,2,283001,160.6704077,0.51543508,NA,NA
AL,2010.3,2010,3,283001,163.1843556,0.520657149,NA,NA
AL,2010.4,2010,4,201849,114.4429602,0.370470387,NA,NA
AL,2011.1,2011,1,262661,149.6985068,0.477566809,NA,NA
AL,2011.2,2011,2,51134,28.9719748,0.092230276,NA,NA
AL,2011.3,2011,3,44122,25.38456272,0.078631908,NA,NA
AL,2011.4,2011,4,32826,18.60174661,0.058228819,NA,NA
AL,2012.1,2012,1,93432,53.20922858,0.163979944,NA,NA
AL,2012.2,2012,2,0,0,0,NA,NA
AL,2012.3,2012,3,0,0,0,NA,NA
AL,2012.4,2012,4,0,0,0,NA,NA
AL,2013.1,2013,1,0,0,0,NA,NA
AL,2013.2,2013,2,0,0,0,NA,NA
AL,2013.3,2013,3,0,0,0,NA,NA
AL,2013.4,2013,4,0,0,0,NA,NA
AL,2014.1,2014,1,0,0,0,0,N.A.
AL,2014.2,2014,2,0,0,0,0,N.A.
AL,2014.3,2014,3,0,0,0,0,N.A.
AL,2014.4,2014,4,0,0,0,0,N.A.
AL,2015.1,2015,1,0,0,0,0,N.A.
AL,2015.2,2015,2,0,0,0,0,N.A.
AL,2015.3,2015,3,0,0,0,0,N.A.
AL,2015.4,2015,4,0,0,0,0,N.A.
AL,2016.1,2016,1,0,0,0,0,N.A.
AL,2016.2,2016,2,0,0,0,0,N.A.
AL,2016.3,2016,3,0,0,0,0,N.A.
AL,2016.4,2016,4,0,0,0,0,N.A.
AL,2017.1,2017,1,0,0,0,0,N.A.
AL,2017.2,2017,2,0,0,0,0,N.A.
AL,2017.3,2017,3,0,0,0,0,N.A.
AL,2017.4,2017,4,0,0,0,0,N.A.
AL,2018.1,2018,1,0,0,0,0,N.A.
AR,1971.1,1971,1,NA,NA,NA,NA,NA
AR,1971.2,1971,2,NA,NA,NA,NA,NA
AR,1971.3,1971,3,NA,NA,NA,NA,NA
AR,1971.4,1971,4,NA,NA,NA,NA,NA
AR,1972.1,1972,1,NA,NA,NA,NA,NA
AR,1972.2,1972,2,NA,NA,NA,NA,NA
AR,1972.3,1972,3,NA,NA,NA,NA,NA
AR,1972.4,1972,4,NA,NA,NA,NA,NA
AR,1973.1,1973,1,NA,NA,NA,NA,NA
AR,1973.2,1973,2,NA,NA,NA,NA,NA
AR,1973.3,1973,3,NA,NA,NA,NA,NA
AR,1973.4,1973,4,NA,NA,NA,NA,NA
AR,1974.1,1974,1,NA,NA,NA,NA,NA
AR,1974.2,1974,2,NA,NA,NA,NA,NA
AR,1974.3,1974,3,NA,NA,NA,NA,NA
AR,1974.4,1974,4,NA,NA,NA,NA,NA
AR,1975.1,1975,1,NA,NA,NA,NA,NA
AR,1975.2,1975,2,NA,NA,NA,NA,NA
AR,1975.3,1975,3,NA,NA,NA,NA,NA
AR,1975.4,1975,4,NA,NA,NA,NA,NA
AR,1976.1,1976,1,NA,NA,NA,NA,NA
AR,1976.2,1976,2,NA,NA,NA,NA,NA
AR,1976.3,1976,3,NA,NA,NA,NA,NA
AR,1976.4,1976,4,NA,NA,NA,NA,NA
AR,1977.1,1977,1,NA,NA,NA,NA,NA
AR,1977.2,1977,2,NA,NA,NA,NA,NA
AR,1977.3,1977,3,NA,NA,NA,NA,NA
AR,1977.4,1977,4,NA,NA,NA,NA,NA
AR,1978.1,1978,1,NA,NA,NA,NA,NA
AR,1978.2,1978,2,NA,NA,NA,NA,NA
AR,1978.3,1978,3,NA,NA,NA,NA,NA
AR,1978.4,1978,4,NA,NA,NA,NA,NA
AR,1979.1,1979,1,NA,NA,NA,NA,NA
AR,1979.2,1979,2,NA,NA,NA,NA,NA
AR,1979.3,1979,3,NA,NA,NA,NA,NA
AR,1979.4,1979,4,NA,NA,NA,NA,NA
AR,1980.1,1980,1,NA,NA,NA,NA,NA
AR,1980.2,1980,2,NA,NA,NA,NA,NA
AR,1980.3,1980,3,NA,NA,NA,NA,NA
AR,1980.4,1980,4,NA,NA,NA,NA,NA
AR,1981.1,1981,1,NA,NA,NA,NA,NA
AR,1981.2,1981,2,NA,NA,NA,NA,NA
AR,1981.3,1981,3,NA,NA,NA,NA,NA
AR,1981.4,1981,4,NA,NA,NA,NA,NA
AR,1982.1,1982,1,NA,NA,NA,NA,NA
AR,1982.2,1982,2,NA,NA,NA,NA,NA
AR,1982.3,1982,3,NA,NA,NA,NA,NA
AR,1982.4,1982,4,NA,NA,NA,NA,NA
AR,1983.1,1983,1,NA,NA,NA,NA,NA
AR,1983.2,1983,2,NA,NA,NA,NA,NA
AR,1983.3,1983,3,NA,NA,NA,NA,NA
AR,1983.4,1983,4,NA,NA,NA,NA,NA
AR,1984.1,1984,1,NA,NA,NA,NA,NA
AR,1984.2,1984,2,NA,NA,NA,NA,NA
AR,1984.3,1984,3,NA,NA,NA,NA,NA
AR,1984.4,1984,4,NA,NA,NA,NA,NA
AR,1985.1,1985,1,NA,NA,NA,NA,NA
AR,1985.2,1985,2,NA,NA,NA,NA,NA
AR,1985.3,1985,3,NA,NA,NA,NA,NA
AR,1985.4,1985,4,NA,NA,NA,NA,NA
AR,1986.1,1986,1,NA,NA,NA,NA,NA
AR,1986.2,1986,2,NA,NA,NA,NA,NA
AR,1986.3,1986,3,NA,NA,NA,NA,NA
AR,1986.4,1986,4,NA,NA,NA,NA,NA
AR,1987.1,1987,1,NA,NA,NA,NA,NA
AR,1987.2,1987,2,NA,NA,NA,NA,NA
AR,1987.3,1987,3,NA,NA,NA,NA,NA
AR,1987.4,1987,4,NA,NA,NA,NA,NA
AR,1988.1,1988,1,NA,NA,NA,NA,NA
AR,1988.2,1988,2,NA,NA,NA,NA,NA
AR,1988.3,1988,3,NA,NA,NA,NA,NA
AR,1988.4,1988,4,NA,NA,NA,NA,NA
AR,1989.1,1989,1,NA,NA,NA,NA,NA
AR,1989.2,1989,2,NA,NA,NA,NA,NA
AR,1989.3,1989,3,NA,NA,NA,NA,NA
AR,1989.4,1989,4,NA,NA,NA,NA,NA
AR,1990.1,1990,1,NA,NA,NA,NA,NA
AR,1990.2,1990,2,NA,NA,NA,NA,NA
AR,1990.3,1990,3,NA,NA,NA,NA,NA
AR,1990.4,1990,4,NA,NA,NA,NA,NA
AR,1991.1,1991,1,NA,NA,NA,NA,NA
AR,1991.2,1991,2,NA,NA,NA,NA,NA
AR,1991.3,1991,3,NA,NA,NA,NA,NA
AR,1991.4,1991,4,NA,NA,NA,NA,NA
AR,1992.1,1992,1,NA,NA,NA,NA,NA
AR,1992.2,1992,2,NA,NA,NA,NA,NA
AR,1992.3,1992,3,NA,NA,NA,NA,NA
AR,1992.4,1992,4,NA,NA,NA,NA,NA
AR,1993.1,1993,1,NA,NA,NA,NA,NA
AR,1993.2,1993,2,NA,NA,NA,NA,NA
AR,1993.3,1993,3,NA,NA,NA,NA,NA
AR,1993.4,1993,4,NA,NA,NA,NA,NA
AR,1994.1,1994,1,NA,NA,NA,NA,NA
AR,1994.2,1994,2,NA,NA,NA,NA,NA
AR,1994.3,1994,3,NA,NA,NA,NA,NA
AR,1994.4,1994,4,NA,NA,NA,NA,NA
AR,1995.1,1995,1,NA,NA,NA,NA,NA
AR,1995.2,1995,2,NA,NA,NA,NA,NA
AR,1995.3,1995,3,NA,NA,NA,NA,NA
AR,1995.4,1995,4,NA,NA,NA,NA,NA
AR,1996.1,1996,1,NA,NA,NA,NA,NA
AR,1996.2,1996,2,NA,NA,NA,NA,NA
AR,1996.3,1996,3,NA,NA,NA,NA,NA
AR,1996.4,1996,4,NA,NA,NA,NA,NA
AR,1997.1,1997,1,NA,NA,NA,NA,NA
AR,1997.2,1997,2,NA,NA,NA,NA,NA
AR,1997.3,1997,3,NA,NA,NA,NA,NA
AR,1997.4,1997,4,NA,NA,NA,NA,NA
AR,1998.1,1998,1,NA,NA,NA,NA,NA
AR,1998.2,1998,2,NA,NA,NA,NA,NA
AR,1998.3,1998,3,NA,NA,NA,NA,NA
AR,1998.4,1998,4,NA,NA,NA,NA,NA
AR,1999.1,1999,1,NA,NA,NA,NA,NA
AR,1999.2,1999,2,NA,NA,NA,NA,NA
AR,1999.3,1999,3,NA,NA,NA,NA,NA
AR,1999.4,1999,4,NA,NA,NA,NA,NA
AR,2000.1,2000,1,NA,NA,NA,NA,NA
AR,2000.2,2000,2,NA,NA,NA,NA,NA
AR,2000.3,2000,3,NA,NA,NA,NA,NA
AR,2000.4,2000,4,NA,NA,NA,NA,NA
AR,2001.1,2001,1,NA,NA,NA,NA,NA
AR,2001.2,2001,2,NA,NA,NA,NA,NA
AR,2001.3,2001,3,NA,NA,NA,NA,NA
AR,2001.4,2001,4,NA,NA,NA,NA,NA
AR,2002.1,2002,1,NA,NA,NA,NA,NA
AR,2002.2,2002,2,NA,NA,NA,NA,NA
AR,2002.3,2002,3,NA,NA,NA,NA,NA
AR,2002.4,2002,4,NA,NA,NA,NA,NA
