st,CYQ,year,quarter,Civlian_Labor_Force,Covered_Employment,Sub_Employer,TUR,TUR_Rank,Total_Unemployment
AK,1971.1,1971,1,NA,NA,NA,NA,NA,NA
AK,1971.2,1971,2,NA,NA,NA,NA,NA,NA
AK,1971.3,1971,3,NA,NA,NA,NA,NA,NA
AK,1971.4,1971,4,NA,NA,NA,NA,NA,NA
AK,1972.1,1972,1,NA,NA,NA,NA,NA,NA
AK,1972.2,1972,2,NA,NA,NA,NA,NA,NA
AK,1972.3,1972,3,NA,NA,NA,NA,NA,NA
AK,1972.4,1972,4,NA,NA,NA,NA,NA,NA
AK,1973.1,1973,1,NA,NA,NA,NA,NA,NA
AK,1973.2,1973,2,NA,NA,NA,NA,NA,NA
AK,1973.3,1973,3,NA,NA,NA,NA,NA,NA
AK,1973.4,1973,4,NA,NA,NA,NA,NA,NA
AK,1974.1,1974,1,NA,NA,NA,NA,NA,NA
AK,1974.2,1974,2,NA,NA,NA,NA,NA,NA
AK,1974.3,1974,3,NA,67.398,NA,NA,NA,NA
AK,1974.4,1974,4,NA,85.516,NA,NA,NA,NA
AK,1975.1,1975,1,NA,101.157,NA,NA,NA,NA
AK,1975.2,1975,2,NA,97.124,NA,NA,NA,NA
AK,1975.3,1975,3,NA,95.394,NA,NA,NA,NA
AK,1975.4,1975,4,NA,118.405,NA,NA,NA,NA
AK,1976.1,1976,1,155.666,135.711,NA,9.019096442,953,14.03966667
AK,1976.2,1976,2,162.5976667,124.771,NA,7.166154496,2365,11.652
AK,1976.3,1976,3,170.745,114.061,NA,5.937313928,3986,10.13766667
AK,1976.4,1976,4,166.0233333,132.954,NA,8.327745096,1350,13.826
AK,1977.1,1977,1,165.8056667,146.145,NA,10.88020715,383,18.04
AK,1977.2,1977,2,173.3316667,121.485,NA,9.841056164,658,17.05766667
AK,1977.3,1977,3,179.6583333,112.781,NA,8.103715386,1510,14.559
AK,1977.4,1977,4,174.4916667,125.172,NA,9.763216964,682,17.036
AK,1978.1,1978,1,174.8013333,127.271,NA,12.56493085,184,21.96366667
AK,1978.2,1978,2,181.1676667,117.304,NA,11.11530203,346,20.13733333
AK,1978.3,1978,3,187.0263333,131.274,NA,8.992851274,970,16.819
AK,1978.4,1978,4,180.1736667,144.66,NA,9.94854964,633,17.92466667
AK,1979.1,1979,1,177.4326667,151.855,NA,10.96115334,364,19.44866667
AK,1979.2,1979,2,181.831,141.888,NA,9.17866957,880,16.68966667
AK,1979.3,1979,3,188.001,136.175,NA,7.320351133,2185,13.76233333
AK,1979.4,1979,4,181.971,149,NA,8.73490831,1110,15.895
AK,1980.1,1980,1,180.49,155.103,NA,10.25652391,547,18.512
AK,1980.2,1980,2,188.6153333,146.145,NA,10.13420613,579,19.11466667
AK,1980.3,1980,3,195.4253333,136.758,NA,8.175500959,1456,15.977
AK,1980.4,1980,4,189.1853333,150.95,NA,8.943434657,1000,16.91966667
AK,1981.1,1981,1,189.6293333,161.199,NA,10.32347316,516,19.57633333
AK,1981.2,1981,2,197.273,154.082,NA,8.930771063,1009,17.618
AK,1981.3,1981,3,206.8746667,145.527,11.604,7.831633968,1705,16.20166667
AK,1981.4,1981,4,202.966,166.251,11.711,9.300244047,822,18.87633333
AK,1982.1,1982,1,204.5083333,178.508,11.457,11.16189234,335,22.827
AK,1982.2,1982,2,213.6613333,170.192,12.468,9.967487488,624,21.29666667
AK,1982.3,1982,3,223.153,161.591,12.96,8.313130453,1363,18.551
AK,1982.4,1982,4,219.3523333,178.567,13.227,9.771493959,677,21.434
AK,1983.1,1983,1,221.952,196.17,13.496,11.82042364,249,26.23566667
AK,1983.2,1983,2,229.715,181.138,13.521,10.16578514,569,23.35233333
AK,1983.3,1983,3,240.0193333,174.599,13.648,8.562782443,1216,20.55233333
AK,1983.4,1983,4,235.0183333,193.884,13.868,9.69626483,698,22.788
AK,1984.1,1984,1,237.3936667,207.61,14.024,11.66318675,270,27.68766667
AK,1984.2,1984,2,245.8496667,195.836,14.596,10.33680474,509,25.413
AK,1984.3,1984,3,251.817,187.063,15.073,8.517163919,1235,21.44766667
AK,1984.4,1984,4,244.336,202.768,15.163,9.009042193,962,22.01233333
AK,1985.1,1985,1,244.6116667,214.948,15.299,10.79656871,403,26.40966667
AK,1985.2,1985,2,251.5343333,203.21,15.538,10.00314072,610,25.16133333
AK,1985.3,1985,3,256.5676667,194.174,15.602,8.359198288,1332,21.447
AK,1985.4,1985,4,249.5236667,209.783,15.561,9.412066457,775,23.48533333
AK,1986.1,1986,1,249.7103333,221.471,16.063,11.77604451,255,29.406
AK,1986.2,1986,2,256.7523333,205.43,15.349,11.6896049,266,30.01333333
AK,1986.3,1986,3,260.627,193.138,14.653,9.978628461,619,26.007
AK,1986.4,1986,4,250.6253333,200.998,14.576,10.62223026,435,26.622
AK,1987.1,1987,1,247.9833333,206.911,15.695,12.12460515,220,30.067
AK,1987.2,1987,2,252.1176667,190.349,14.513,10.74260299,409,27.084
AK,1987.3,1987,3,255.5016667,178.057,13.844,8.569807111,1212,21.896
AK,1987.4,1987,4,247.49,190.22,13.729,9.275122227,832,22.955
AK,1988.1,1988,1,245.441,194.92,15.699,10.40032703,491,25.52666667
AK,1988.2,1988,2,251.8483333,184.774,13.728,9.221422946,857,23.224
AK,1988.3,1988,3,257.8556667,177.519,13.385,7.409959318,2082,19.107
AK,1988.4,1988,4,250.9366667,191.458,13.199,7.938125158,1628,19.91966667
AK,1989.1,1989,1,249.767,203.224,13.387,8.394490332,1314,20.96666667
AK,1989.2,1989,2,255.996,192.165,13.408,6.886956567,2681,17.63033333
AK,1989.3,1989,3,263.3143333,186.083,13.553,5.65686385,4447,14.89533333
AK,1989.4,1989,4,256.933,207.25,13.552,6.778161362,2820,17.41533333
AK,1990.1,1990,1,264.6376667,219.651,13.49,8.233773726,1419,21.78966667
AK,1990.2,1990,2,271.167,202.53,13.138,7.228878637,2291,19.60233333
AK,1990.3,1990,3,276.4453333,198.011,13.232,5.942344237,3970,16.42733333
AK,1990.4,1990,4,267.9086667,218.725,13.176,6.806299659,2792,18.23466667
AK,1991.1,1991,1,269.497,227.607,13.207,8.652415426,1159,23.318
AK,1991.2,1991,2,278.6646667,213.328,13.278,8.178288361,1455,22.79
AK,1991.3,1991,3,285.9753333,205.565,13.363,7.39154659,2110,21.138
AK,1991.4,1991,4,281.06,221.02,13.254,8.807609289,1061,24.75466667
AK,1992.1,1992,1,282.861,231.444,13.338,10.59813831,441,29.978
AK,1992.2,1992,2,289.239,214.203,13.51,9.314327137,811,26.94066667
AK,1992.3,1992,3,295.1473333,209.888,13.681,7.719873238,1811,22.785
AK,1992.4,1992,4,287.86,225.606,13.852,8.157900831,1473,23.48333333
AK,1993.1,1993,1,287.136,235.05,13.813,9.10126212,908,26.133
AK,1993.2,1993,2,293.7953333,216.696,14.003,7.979023946,1592,23.442
AK,1993.3,1993,3,299.8136667,212.57,14.315,6.435330389,3253,19.294
AK,1993.4,1993,4,294.2863333,228.845,14.467,7.180081984,2353,21.13
AK,1994.1,1994,1,295.6053333,238.341,14.455,8.95033468,994,26.45766667
AK,1994.2,1994,2,301.1433333,226.132,14.546,7.781344432,1753,23.433
AK,1994.3,1994,3,306.3393333,220.78,14.823,6.434585612,3254,19.71166667
AK,1994.4,1994,4,299.8806667,235.043,14.895,6.861062512,2716,20.575
AK,1995.1,1995,1,299.0336667,247.256,14.923,8.092622793,1519,24.19966667
AK,1995.2,1995,2,303.125,231.015,15.047,7.077168385,2468,21.45266667
AK,1995.3,1995,3,309.1363333,224.288,15.189,6.143028588,3684,18.99033333
AK,1995.4,1995,4,303.3676667,241.407,15.214,7.12963258,2404,21.629
AK,1996.1,1996,1,303.5463333,252.329,15.252,8.84488804,1040,26.84833333
AK,1996.2,1996,2,308.5563333,233.46,15.508,7.534226597,1979,23.24733333
AK,1996.3,1996,3,313.9653333,225.94,15.699,6.318107307,3430,19.83666667
AK,1996.4,1996,4,308.2246667,243.312,15.631,7.187289791,2347,22.153
AK,1997.1,1997,1,308.4453333,253.046,15.777,8.745471915,1099,26.975
AK,1997.2,1997,2,312.0783333,236.516,15.579,7.259181723,2254,22.65433333
AK,1997.3,1997,3,317.3653333,229.538,15.682,6.044033375,3810,19.18166667
AK,1997.4,1997,4,309.9546667,248.175,15.788,6.187786601,3611,19.17933333
AK,1998.1,1998,1,308.501,257.173,15.934,7.200949106,2333,22.215
AK,1998.2,1998,2,313.004,242.138,15.95,6.081178941,3757,19.03433333
AK,1998.3,1998,3,318.1216667,237.819,16.059,5.266433702,5152,16.75366667
AK,1998.4,1998,4,312.6883333,253.508,16.038,5.934876581,3991,18.55766667
AK,1999.1,1999,1,313.6463333,261.21,15.976,7.375185852,2130,23.132
AK,1999.2,1999,2,316.933,247.337,16.004,6.261260266,3492,19.844
AK,1999.3,1999,3,320.722,239.316,16.065,5.241195386,5208,16.80966667
AK,1999.4,1999,4,314.725,255.478,16.136,5.771705457,4260,18.165
AK,2000.1,2000,1,316.427,263.969,16.087,7.183963442,2349,22.732
AK,2000.2,2000,2,320.2076667,249.175,16.041,6.33380629,3406,20.28133333
AK,2000.3,2000,3,323.033,244.418,16.186,5.344861567,4994,17.26566667
AK,2000.4,2000,4,316.342,261.921,16.19,5.827448352,4151,18.43466667
AK,2001.1,2001,1,317.6066667,271.992,16.262,7.162737978,2368,22.74933333
AK,2001.2,2001,2,321.6633333,255.672,16.298,6.150840941,3669,19.785
AK,2001.3,2001,3,326.5376667,251.588,16.387,5.300052163,5084,17.30666667
AK,2001.4,2001,4,320.1286667,271.409,16.398,6.034865148,3830,19.31933333
AK,2002.1,2002,1,322.7996667,280.02,16.48,7.718306194,1815,24.91466667
AK,2002.2,2002,2,328.3756667,261.97,16.343,7.112585484,2423,23.356
AK,2002.3,2002,3,334.5726667,256.568,16.492,6.417340329,3284,21.47066667
AK,2002.4,2002,4,327.7916667,274.093,16.511,7.124138808,2407,23.35233333
AK,2003.1,2003,1,331.8886667,286.733,16.549,8.621465431,1173,28.61366667
AK,2003.2,2003,2,337.274,267.114,16.592,7.875792382,1677,26.563
AK,2003.3,2003,3,341.3153333,261.615,16.76,6.863252554,2710,23.42533333
AK,2003.4,2003,4,335.717,278.769,16.825,7.311515354,2197,24.546
AK,2004.1,2004,1,335.6323333,288.235,16.854,8.620941367,1174,28.93466667
AK,2004.2,2004,2,339.6313333,270.162,17.082,7.51648356,1992,25.52833333
AK,2004.3,2004,3,345.013,264.236,17.073,6.425071906,3264,22.16733333
AK,2004.4,2004,4,339.1593333,281.787,16.975,7.015090253,2519,23.79233333
AK,2005.1,2005,1,338.7833333,294.837,17.069,7.995769174,1583,27.08833333
AK,2005.2,2005,2,343.7503333,275.573,17.264,6.76973889,2834,23.271
AK,2005.3,2005,3,350.1453333,270.499,16.634,5.992464082,3894,20.98233333
AK,2005.4,2005,4,344.8343333,289.188,16.921,6.842996105,2745,23.597
AK,2006.1,2006,1,343.9976667,302.058,16.772,7.767591447,1769,26.72033333
AK,2006.2,2006,2,348.6393333,280.082,16.846,6.595258902,3056,22.99366667
AK,2006.3,2006,3,354.3453333,275.512,17.015,5.698489985,4364,20.19233333
AK,2006.4,2006,4,348.377,297.292,17.125,6.032449521,3833,21.01566667
AK,2007.1,2007,1,346.9406667,306.697,17.11,6.954599346,2596,24.12833333
AK,2007.2,2007,2,350.7983333,284.267,17.061,6.004589531,3871,21.064
AK,2007.3,2007,3,356.6583333,279.749,17.144,5.401714993,4881,19.26566667
AK,2007.4,2007,4,351.0806667,299.029,17.26,5.983145374,3911,21.00566667
AK,2008.1,2008,1,350.9013333,309.826,17.122,7.108645925,2426,24.94433333
AK,2008.2,2008,2,356.7396667,287.351,17.197,6.386356437,3335,22.78266667
AK,2008.3,2008,3,361.6276667,283.209,17.392,5.763109939,4275,20.841
AK,2008.4,2008,4,354.072,303.524,17.445,6.405947566,3300,22.68166667
AK,2009.1,2009,1,353.2163333,315.241,17.281,8.166477768,1463,28.84533333
AK,2009.2,2009,2,359.4623333,291.603,17.255,7.736647419,1794,27.81033333
AK,2009.3,2009,3,364.4756667,284.979,17.319,7.137467796,2391,26.01433333
AK,2009.4,2009,4,356.438,300.527,17.306,7.879444204,1675,28.08533333
AK,2010.1,2010,1,356.8603333,311.582,17.254,8.97680792,981,32.03466667
AK,2010.2,2010,2,362.225,289.902,17.202,7.96687142,1604,28.858
AK,2010.3,2010,3,367.72,284.67,17.281,6.92438087,2628,25.46233333
AK,2010.4,2010,4,360.848,301.771,17.368,7.657794972,1872,27.633
AK,2011.1,2011,1,361.2563333,314.805,17.252,8.653873658,1158,31.26266667
AK,2011.2,2011,2,366.113,294.705,17.345,7.63525651,1889,27.95366667
AK,2011.3,2011,3,372.134,290.18,17.531,6.679762308,2949,24.85766667
AK,2011.4,2011,4,364.1476667,307.941,17.607,7.396175361,2100,26.933
AK,2012.1,2012,1,361.968,321.975,17.557,8.163336722,1467,29.54866667
AK,2012.2,2012,2,366.614,299.783,17.669,7.263225081,2250,26.628
AK,2012.3,2012,3,370.6656667,295.805,17.824,6.268542091,3488,23.23533333
AK,2012.4,2012,4,362.826,315.043,17.898,6.826045175,2767,24.76666667
AK,2013.1,2013,1,360.916,327.838,17.821,7.834232896,1703,28.275
AK,2013.2,2013,2,366.3863333,305.156,17.921,7.076410237,2469,25.927
AK,2013.3,2013,3,371.3253333,298.695,17.968,6.157762824,3657,22.86533333
AK,2013.4,2013,4,362.5366667,317.207,18.013,6.86679968,2706,24.89466667
AK,2014.1,2014,1,361.8383333,330.823,17.893,7.819329995,1718,28.29333333
AK,2014.2,2014,2,367.665,305.477,17.871,7.040557754,2496,25.88566667
AK,2014.3,2014,3,371.6796667,301.216,18.008,6.200949025,3597,23.04766667
AK,2014.4,2014,4,361.6306667,320.967,18.108,6.428934862,3260,23.249
AK,2015.1,2015,1,360.4856667,331.123,18.05,7.258541024,2256,26.166
AK,2015.2,2015,2,365.411,307.548,18.063,6.56010173,3103,23.97133333
AK,2015.3,2015,3,369.5006667,304.957,18.208,5.775271493,4252,21.33966667
AK,2015.4,2015,4,360.0923333,323.171,18.236,6.521660648,3147,23.484
AK,2016.1,2016,1,358.8913333,332.375,18.127,7.513787832,1995,26.96633333
AK,2016.2,2016,2,364.5716667,306.482,18.144,6.97384602,2562,25.42466667
AK,2016.3,2016,3,368.6926667,301.212,18.24,6.287169621,3467,23.18033333
AK,2016.4,2016,4,360.0336667,317.902,18.275,6.896669848,2665,24.83033333
AK,2017.1,2017,1,359.0046667,324.809,18.105,7.809183539,1728,28.03533333
AK,2017.2,2017,2,364.3476667,300.199,18.12,7.204474115,2326,26.24933333
AK,2017.3,2017,3,368.8716667,295.112,18.173,6.559372501,3106,24.19566667
AK,2017.4,2017,4,358.9086667,313.246,18.172,7.084532184,2458,25.427
AK,2018.1,2018,1,359.0736667,322.452,18.145,8.069838965,1529,28.97666667
AL,1971.1,1971,1,NA,NA,NA,NA,NA,NA
AL,1971.2,1971,2,NA,NA,NA,NA,NA,NA
AL,1971.3,1971,3,NA,NA,NA,NA,NA,NA
AL,1971.4,1971,4,NA,NA,NA,NA,NA,NA
AL,1972.1,1972,1,NA,NA,NA,NA,NA,NA
AL,1972.2,1972,2,NA,NA,NA,NA,NA,NA
AL,1972.3,1972,3,NA,NA,NA,NA,NA,NA
AL,1972.4,1972,4,NA,NA,NA,NA,NA,NA
AL,1973.1,1973,1,NA,NA,NA,NA,NA,NA
AL,1973.2,1973,2,NA,NA,NA,NA,NA,NA
AL,1973.3,1973,3,NA,NA,NA,NA,NA,NA
AL,1973.4,1973,4,NA,NA,NA,NA,NA,NA
AL,1974.1,1974,1,NA,NA,NA,NA,NA,NA
AL,1974.2,1974,2,NA,NA,NA,NA,NA,NA
AL,1974.3,1974,3,NA,908.074,NA,NA,NA,NA
AL,1974.4,1974,4,NA,934.002,NA,NA,NA,NA
AL,1975.1,1975,1,NA,942.937,NA,NA,NA,NA
AL,1975.2,1975,2,NA,927.955,NA,NA,NA,NA
AL,1975.3,1975,3,NA,883.534,NA,NA,NA,NA
AL,1975.4,1975,4,NA,895.477,NA,NA,NA,NA
AL,1976.1,1976,1,1452.823667,922.664,NA,6.831983051,2762,99.25666667
AL,1976.2,1976,2,1479.115333,932.613,NA,5.694101835,4377,84.22233333
AL,1976.3,1976,3,1509.923333,926.786,NA,6.720517819,2898,101.4746667
AL,1976.4,1976,4,1523.608,952.122,NA,6.283965429,3469,95.743
AL,1977.1,1977,1,1524.238,967.661,NA,7.529860822,1980,114.773
AL,1977.2,1977,2,1563.938,973.189,NA,6.968370869,2572,108.981
AL,1977.3,1977,3,1582.409333,961.246,NA,6.993554976,2544,110.6666667
AL,1977.4,1977,4,1592.467333,1006.234,NA,5.768616499,4265,91.86333333
AL,1978.1,1978,1,1583.565667,1027.36,NA,6.102704508,3728,96.64033333
AL,1978.2,1978,2,1609.521333,1028.397,NA,5.299215253,5089,85.292
AL,1978.3,1978,3,1639.589333,1187.885,NA,6.400118892,3309,104.9356667
AL,1978.4,1978,4,1651.608333,1239.005,NA,5.990706029,3896,98.943
AL,1979.1,1979,1,1638.715,1251.061,NA,6.631028987,3005,108.6636667
AL,1979.2,1979,2,1664.020333,1266.177,NA,6.807729313,2791,113.282
AL,1979.3,1979,3,1681.211333,1245.315,NA,7.239204907,2276,121.7063333
AL,1979.4,1979,4,1678.649,1265.543,NA,6.578027926,3080,110.422
AL,1980.1,1980,1,1655.075333,1261.459,NA,7.356120346,2141,121.7493333
AL,1980.2,1980,2,1677.663667,1274.09,NA,8.095404899,1515,135.8136667
AL,1980.3,1980,3,1702.257,1257.347,NA,9.542722789,736,162.4416667
AL,1980.4,1980,4,1688.125,1258.924,NA,8.736082932,1107,147.476
AL,1981.1,1981,1,1659.114667,1239.312,NA,9.313762521,813,154.526
AL,1981.2,1981,2,1670.893,1258.314,NA,9.04430545,937,151.1206667
AL,1981.3,1981,3,1670.667667,1245.813,65.719,9.717811422,695,162.3523333
AL,1981.4,1981,4,1680.653,1251.433,65.927,10.82438393,396,181.9203333
AL,1982.1,1982,1,1667.676333,1251.905,66.085,12.37898081,208,206.4413333
AL,1982.2,1982,2,1690.890333,1245.748,64.955,12.41600332,202,209.941
AL,1982.3,1982,3,1719.375,1213.964,65.04,13.6618054,128,234.8976667
AL,1982.4,1982,4,1733.575667,1226.881,65.882,14.2592949,109,247.1956667
AL,1983.1,1983,1,1700.316667,1205.383,65.505,14.38975093,105,244.6713333
AL,1983.2,1983,2,1715.269667,1205.546,64.885,12.88131759,164,220.9493333
AL,1983.3,1983,3,1747.999333,1192.401,65.414,12.64327332,179,221.0043333
AL,1983.4,1983,4,1744.131333,1223.682,66.051,11.36890685,299,198.2886667
AL,1984.1,1984,1,1718.720333,1239.956,66.943,11.10060372,347,190.7883333
AL,1984.2,1984,2,1752.273,1260.787,66.49,9.937473594,634,174.1316667
AL,1984.3,1984,3,1777.895333,1257.811,67.132,10.40213091,489,184.939
AL,1984.4,1984,4,1773.749,1291.966,67.748,9.323077842,806,165.368
AL,1985.1,1985,1,1763.170333,1297.038,69.135,9.570695665,730,168.7476667
AL,1985.2,1985,2,1773.115667,1311.838,69.564,8.337865531,1342,147.84
AL,1985.3,1985,3,1789.610667,1300.588,69.711,8.432038849,1292,150.9006667
AL,1985.4,1985,4,1799.950333,1331.15,70.943,8.116520252,1501,146.0933333
AL,1986.1,1986,1,1800.787667,1335.596,72.66,9.213116557,860,165.9086667
AL,1986.2,1986,2,1838.247667,1352.794,73.616,9.044990855,936,166.2693333
AL,1986.3,1986,3,1854.986,1348.919,73.741,9.184957011,876,170.3796667
AL,1986.4,1986,4,1859.421333,1369.518,74.995,8.894487604,1027,165.386
AL,1987.1,1987,1,1833.291667,1367.118,75.691,8.828691561,1048,161.8556667
AL,1987.2,1987,2,1850.493333,1380.694,75.144,7.497892454,2000,138.748
AL,1987.3,1987,3,1862.165333,1372.963,76.248,7.351495463,2145,136.897
AL,1987.4,1987,4,1862.328333,1409.504,76.893,6.813979275,2784,126.8986667
AL,1988.1,1988,1,1843.799,1422.966,77.406,7.103359242,2438,130.9716667
AL,1988.2,1988,2,1864.402667,1441.017,77.318,6.552250515,3119,122.1603333
AL,1988.3,1988,3,1884.640333,1429.798,77.751,7.1056175,2431,133.9153333
AL,1988.4,1988,4,1893.885333,1462.134,78.289,6.85152357,2730,129.76
AL,1989.1,1989,1,1873.361667,1467.274,78.964,6.915909635,2639,129.56
AL,1989.2,1989,2,1896.47,1481.095,79.104,6.555829163,3113,124.3293333
AL,1989.3,1989,3,1908.523667,1477.314,79.402,6.858687107,2723,130.8996667
AL,1989.4,1989,4,1903.772333,1501.409,79.183,6.136483056,3693,116.8246667
AL,1990.1,1990,1,1886.771667,1506.916,80.133,6.504602659,3164,122.727
AL,1990.2,1990,2,1903.380667,1522.015,79.687,6.055068333,3801,115.251
AL,1990.3,1990,3,1911.389667,1509.796,79.503,6.526996327,3144,124.7563333
AL,1990.4,1990,4,1911.451333,1541.912,80.289,6.249614168,3515,119.4583333
AL,1991.1,1991,1,1898.331,1539.336,80.543,7.325557731,2179,139.0633333
AL,1991.2,1991,2,1918.921667,1550.516,79.28,6.75467906,2848,129.617
AL,1991.3,1991,3,1922.091333,1522.009,77.009,6.926014962,2624,133.1243333
AL,1991.4,1991,4,1921.004667,1543.589,77.513,6.496964956,3169,124.807
AL,1992.1,1992,1,1913.354,1547.1,77.794,7.391435842,2111,141.4243333
AL,1992.2,1992,2,1945.151,1561.793,76.945,6.852081578,2728,133.2833333
AL,1992.3,1992,3,1960.253333,1545.772,77.525,6.937300621,2616,135.9886667
AL,1992.4,1992,4,1953.376333,1575.691,77.804,6.352539338,3380,124.089
AL,1993.1,1993,1,1947.241333,1578.729,78.407,7.059713879,2485,137.4696667
AL,1993.2,1993,2,1983.112667,1605.608,78.649,6.75256642,2855,133.911
AL,1993.3,1993,3,2000.146333,1590.51,79.457,6.851115393,2731,137.0323333
AL,1993.4,1993,4,1996.063667,1623.093,80.321,5.796942683,4216,115.7106667
AL,1994.1,1994,1,1988.538667,1623.392,80.848,6.144612727,3678,122.188
AL,1994.2,1994,2,2007.403667,1643.028,81.25,5.146481915,5389,103.3106667
AL,1994.3,1994,3,2032.216333,1620.521,81.496,5.529152162,4684,112.3643333
AL,1994.4,1994,4,2045.938333,1654.625,82.479,4.726942731,6168,96.71033333
AL,1995.1,1995,1,2036.884,1664.784,83.477,5.343701458,4997,108.845
AL,1995.2,1995,2,2065.869667,1688.206,82.855,5.259108795,5168,108.6463333
AL,1995.3,1995,3,2080.332,1680.109,83.256,5.68782611,4390,118.3256667
AL,1995.4,1995,4,2072.394,1708.926,83.038,4.645770383,6303,96.27866667
AL,1996.1,1996,1,2052.141,1708.023,84.093,4.825399424,5991,99.024
AL,1996.2,1996,2,2080.359667,1725.672,85.482,4.351715465,6850,90.53133333
AL,1996.3,1996,3,2099.163,1704.138,85.384,4.542413651,6470,95.35266667
AL,1996.4,1996,4,2114.310333,1730.646,85.797,4.27833757,6973,90.45733333
AL,1997.1,1997,1,2101.82,1733.091,86.582,4.724873364,6172,99.30833333
AL,1997.2,1997,2,2126.806667,1755.493,87.318,4.308007937,6924,91.623
AL,1997.3,1997,3,2148.152,1738.704,87.07,4.890622265,5861,105.058
AL,1997.4,1997,4,2142.407333,1770.292,86.841,3.854262386,7586,82.574
AL,1998.1,1998,1,2121.630333,1767.665,86.939,3.844009269,7599,81.55566667
AL,1998.2,1998,2,2139.465333,1788.223,87.221,3.538656699,7947,75.70833333
AL,1998.3,1998,3,2150.598667,1772.956,86.95,4.257853162,7004,91.56933333
AL,1998.4,1998,4,2158.354,1811.181,87.256,3.890727224,7551,83.97566667
AL,1999.1,1999,1,2148.311667,1802.086,87.343,4.258677551,7002,91.48966667
AL,1999.2,1999,2,2162.496333,1816.129,87.212,4.062542534,7294,87.85233333
AL,1999.3,1999,3,2167.299667,1792.778,85.909,4.677064347,6261,101.366
AL,1999.4,1999,4,2172.302667,1822.791,86.139,4.090697613,7254,88.86233333
AL,2000.1,2000,1,2149.966333,1821.89,86.652,4.224980887,7047,90.83566667
AL,2000.2,2000,2,2152.417,1833.655,86.899,3.686057736,7787,79.33933333
AL,2000.3,2000,3,2154.185,1809.202,87.967,4.359359417,6835,93.90866667
AL,2000.4,2000,4,2161.611,1829.771,88.222,3.955768792,7437,85.50833333
AL,2001.1,2001,1,2154.231,1828.169,87.193,4.429438316,6715,95.42033333
AL,2001.2,2001,2,2141.788,1831.248,86.629,4.05026081,7311,86.748
AL,2001.3,2001,3,2114.772667,1798.249,86.145,4.970037757,5722,105.105
AL,2001.4,2001,4,2128.586333,1816.005,86.007,5.283804165,5117,112.4703333
AL,2002.1,2002,1,2098.459333,1800.384,86.18,5.646571183,4473,118.491
AL,2002.2,2002,2,2103.417,1797.389,86.06,5.083220937,5513,106.9213333
AL,2002.3,2002,3,2114.145,1764.787,85.701,5.556525215,4641,117.473
AL,2002.4,2002,4,2115.411333,1785.591,85.895,5.178866711,5328,109.5543333
AL,2003.1,2003,1,2090.010333,1779.212,86.215,5.405364025,4873,112.9726667
AL,2003.2,2003,2,2101.788333,1787.516,85.631,5.27276375,5142,110.8223333
AL,2003.3,2003,3,2106.706333,1760.642,85.362,5.692962427,4379,119.934
AL,2003.4,2003,4,2118.328667,1776.957,85.768,5.380216416,4922,113.9706667
AL,2004.1,2004,1,2100.490667,1769.654,85.466,5.521820933,4697,115.9853333
AL,2004.2,2004,2,2107.901333,1785.632,85.963,4.921719929,5801,103.745
AL,2004.3,2004,3,2121.332667,1772.284,86.044,5.205627029,5273,110.4286667
AL,2004.4,2004,4,2125.400667,1803.842,86.651,4.533419738,6484,96.35333333
AL,2005.1,2005,1,2097.822,1803.752,87.489,4.407889071,6755,92.46966667
AL,2005.2,2005,2,2111.654333,1823.384,87.123,3.606082624,7860,76.148
AL,2005.3,2005,3,2133.365333,1810.4,87.748,3.897910281,7536,83.15666667
AL,2005.4,2005,4,2153.750667,1845.826,88.274,3.395007655,8085,73.12
AL,2006.1,2006,1,2144.019,1846.657,88.139,3.653730059,7819,78.33666667
AL,2006.2,2006,2,2165.825333,1869.774,88.469,3.297695905,8176,71.42233333
AL,2006.3,2006,3,2184.139667,1856.148,88.665,3.725326479,7753,81.36633333
AL,2006.4,2006,4,2201.283,1883.128,86.813,3.193274104,8274,70.293
AL,2007.1,2007,1,2169.089667,1877.935,89.642,3.443794931,8038,74.699
AL,2007.2,2007,2,2176.649,1889.233,90.192,3.10541571,8342,67.594
AL,2007.3,2007,3,2183.29,1883.705,90.012,3.679034851,7792,80.324
AL,2007.4,2007,4,2184.888,1905.138,90.419,3.417703791,8065,74.673
AL,2008.1,2008,1,2157.212,1898.405,90.971,4.107446711,7231,88.60633333
AL,2008.2,2008,2,2167.435667,1913.569,91.255,4.303841698,6932,93.283
AL,2008.3,2008,3,2163.28,1886.715,90.196,5.346464628,4991,115.659
AL,2008.4,2008,4,2155.81,1902.902,90.134,6.08592594,3748,131.201
AL,2009.1,2009,1,2149.688333,1882.45,90.144,8.933077896,1007,192.0333333
AL,2009.2,2009,2,2161.594667,1864.055,88.954,9.52918401,741,205.9823333
AL,2009.3,2009,3,2149.263667,1791.135,87.894,10.44329756,478,224.454
AL,2009.4,2009,4,2121.942333,1787.618,87.531,10.05542563,600,213.3703333
AL,2010.1,2010,1,2136.103667,1761.813,87.143,11.98080118,233,255.9223333
AL,2010.2,2010,2,2216.407667,1761.376,86.878,10.28678088,536,227.997
AL,2010.3,2010,3,2212.146667,1734.241,86.256,10.05073503,601,222.337
AL,2010.4,2010,4,2219.511333,1763.752,86.229,9.897554026,642,219.6773333
AL,2011.1,2011,1,2207.205,1754.6,86.019,10.47922599,467,231.298
