"st","CYQ","year","quarter","Benefit","Benefit_12_Month","High_Benefit","Low_Benefit","Benefit_rank","High_Benefit_Date","Low_Benefit_Date","Initial_Claim","Initial_Claim_12_Month","High_Initial_Claim","Low_Initial_Claim","Initial_Claim_rank","High_Initial_Claim_Date","Low_Initial_Claim_Date","First_Payment","First_Payment_12_Month","High_First_Payment","Low_First_Payment","First_Payment_rank","High_First_Payment_Date","Low_First_Payment_Date","Weeks_Claimed","Weeks_Claimed_12_Month","High_Weeks_Claimed","Low_Weeks_Claimed","Weeks_Claimed_rank","High_Weeks_Claimed_Date","Low_Weeks_Claimed_Date","Weeks_Compensated","Weeks_Compensated_12_Month","High_Weeks_Compensated","Low_Weeks_Compensated","Weeks_Compensated_rank","High_Weeks_Compensated_Date","Low_Weeks_Compensated_Date","Exhaustions","Exhaustions_12_Month","High_Exhaustions","Low_Exhaustions","Exhaustions_rank","High_Exhaustions_Date","Low_Exhaustions_Date","Exhaustion_Rate","High_Exhaustion_Rate","Low_Exhaustion_Rate","Exhaustion_Rate_rank","High_Exhaustion_Rate_Date","Low_Exhaustion_Rate_Date","Average_Duration","High_Average_Duration","Low_Average_Duration","Average_Duration_rank","High_Average_Duration_Date","Low_Average_Duration_Date","AWBA","AWBA_12_Month","High_AWBA","Low_AWBA","AWBA_rank","High_AWBA_Date","Low_AWBA_Date","Replacement_Rate","Extended_Benefit","Extended_Benefit_12Mon","Hi_Extended_Benefit","Extended_Benefit_Rank","Hi_EB_Date","EB_First_Payment","EB_First_Payment_12Mon","Hi_EB_First_Payment","EB_First_Payment_Rank","Hi_EB_First_date","EB_Weeks_Claimed","EB_Weeks_Claimed_12Mon","Hi_EB_Weeks_Claimed","EB_Weeks_Claimed_Rank","Hi_EB_Weeks_Claimed_Date","EB_Exh","EB_Exh_12Mon","Hi_EB_Exh","EB_Exh_Rank","Hi_EB_Exh_Date","Avg_Ben_Fir_Pay_12Month","Avg_Ben_Fir_Pay_12Month_rank","Replacement_Rate_Rank","State_Revenue","State_Revenue_Rank","State_Benefit","State_Benefit_Rank","Total_Wages","Total_Wages_Rank","Taxable_Wages","Taxable_Wages_Rank","AWW","AWW_Rank","Rate_On_Taxable_Wages","Rate_On_Taxable_Wages_Rank","Rate_On_Total_Wages","Rate_On_Total_Wages_Rank","TWB","TWB_Rank","TFBalance","TFBalance_Rank","TFPCTW","TFPCTW_Rank","HCM","HCM_Rank","Month_Benefit","Month_Benefit_Rank","Loans","Loans_Rank","Non_interest_Loans","nilork","interest_Loans","intlor","LPCE","LPCE_Rank","CYQ_Taxable_Wages","CYQ_Total_Wages","IUR","IUR_Rank","TUR","TUR_Rank","Total_Unemployment","Total_Unemployment_Rank","Regular_Program","Regular_Program_Rank","Rec_Rate_Regular","Rec_Rate_Regular_Rank","All_Program","All_Program_Rank","Rec_Rate_All","Rec_Rate_All_Rank","Covered_Employment","Covered_Employment_Rank","Civlian_Labor_Force","Civlian_Labor_Force_Rank","st_name","lag2first_payment","staxemp2","AHCM","AHCM_Rank","staxemp","staxemp_Rank","Est_Total_Wage","IUR_12Mon","TUR_12Mon","All_Program_12Mon","Regular_Program_12Mon","Total_Unemployment_12Mon","Covered_Employment_12Mon","Civlian_Labor_Force_12Mon","Rec_Rate_All_12Mon","Rec_Rate_Regular_12Mon","Sub_Employer","Sub_Employer_12Mon","Sub_Employer_Rank","Interest","LPCTW","LPCTW_Rank","Interest_Rank","Bond_Amount","Bond_Date"
"GA","2018.1",2018,1,85728.398,317575.817,463836.917,6287.484,23,2009.2,1972.4,91373,315957,301615,25309,10,2009.1,1973.2,41354,134996,157459,9055,13,1975.1,1973.2,386040,1437211,2109707,167354,19,2009.3,1972.4,310053,1134849,1686847,137491,20,2009.1,1972.4,12828,50293,65604,4870,10,2009.3,1972.4,0.36027020444419,0.577253443224779,0.196233975443679,18,2009.4,1990.3,8.40653797149545,16.04,8.27,53,2010.1,1974.4,288.819512388275,288.655678097552,289.9,43.3,40,2017.2,1971.1,29.348816236733,0,0,112805.559,31,2009.3,0,0,41370,28,1975.2,0,0,553224,30,2009.3,0,0,33695,29.5,1975.3,2352.48316246407,50,39,687982.6734,17,317575.817,20,216071262.468,11,41249830.539,14,983.534312829525,20,1.67511524040494,28,0.375238260172321,41,9500,38.5,1822676.996,7,0.978183188447404,30,"0.45","27",68.8721331448232,8,0,27.5,0,1,1,1,0,27.5,4921168.309,52358907.509,0.709608168868657,48,4.37034291790135,25,225.037333333333,9,30.0986153846154,19,13.3749431433371,48,30.0986153846154,19,13.3749431433371,48,4240.863,10,5149.19166666667,8,"Georgia",31804,184144921.065,"0.96","25",44218485.005,10,186332889.12816,0.660106495964376,4.54089062460815,28.0850769230769,28.0850769230769,231.218916666667,4224.7805,5092.8745,12.1465307977225,12.1465307977225,240.331,236.46925,8,10172.59646,0,27.5,8,0,"N.A."
"HI","2018.1",2018,1,43215.114,168438.348,103697.824,6425.504,36,2009.2,1972.3,16871,65603,35504,10712,37,2001.4,1989.3,5746,21945,18185,4105,46,2001.4,1989.4,101504,406637,281020,61570,45,2009.2,1989.4,87480,345921,251310,51372,45,2009.2,1989.4,1813,6721,6682,728,45,2009.3,1989.4,0.296798410245087,0.478795765067723,0.163168755347526,35,2010.2,1990.1,15.7630895420369,20.81,11.12,19,1972.3,1991.1,508.298589580686,499.963003930394,508.3,63.4,2,2018.1,1971.1,54.3931100072107,0,0,4603.738,31,1976.3,0,0,4850,28,1976.2,0,0,51740,30,1976.3,0,0,3410,29.5,1976.4,7675.47723855092,3,1,172104.59337,38,168438.348,31,29570152.931,40,15087580.618,32,919.166055892219,27,1.0410715738785,47,0.715037376090939,17,44000,2,510232.8267,33,2.29702338419172,8,"1.02","5",36.3503560388754,29,0,27.5,0,1,1,1,0,27.5,3283121.484,7383624.488,1.26215193024541,32,1.98977702484014,52,13.648,49,8.03292307692308,45,58.8578771755794,2,8.03292307692308,45,58.8578771755794,2,613.931,42,685.906,43,"Hawaii",5351,21967035.326,"1.17","18",5394555.576,41,22212783.3008344,1.26911604580601,2.19820673855867,8.03734615384615,8.03734615384615,15.0524166666667,618.666,684.599416666667,53.3957193175811,53.3957193175811,32.409,32.074,44,2891.15764,0,27.5,34,0,"N.A."
"IA","2018.1",2018,1,156564.992,389929.716,229590.78,4417.921,14,2009.1,1972.4,39746,156015,115881,15545,22,2009.1,1974.2,31033,76483,63848,6856,17,1982.1,1974.2,411063,1096699,840777,89474,16,2009.1,1974.3,395196,1019797,743871,79526,15,2009.1,1973.4,5399,20563,19632,1761,24,2009.3,1973.4,0.246225138601176,0.464465413860177,0.136131897548214,47,1975.3,1979.4,13.3336427702888,16.54,10.55,37,2010.1,1999.2,407.733858136993,395.856868156287,407.7,52.2,8,2018.1,1971.3,45.2129682269346,0,0,19657.687,31,1983.2,0,0,16997,28,1983.1,0,0,138046,30,1983.2,0,0,11489,29.5,1983.2,5098.25341579174,23,3,485288.52146,24,389929.716,17,69289246.494,29,29577683.592,21,875.538332651348,34,1.58047540317335,30,0.862494388594255,11,29300,12,1028745.855,18,1.89820120026335,16,"0.76","14",31.659424130681,33,0,27.5,0,1,1,1,0,27.5,5461668.346,16893751.227,2.11801665928051,15,3.38146196908134,43,56.339,32,31.712,17,56.2878290349491,4,31.712,17,56.2878290349491,4,1526.108,29,1666.11366666667,30,"Iowa",13536,54199542.65,"1.37","12",13189393.058,31,54195827.8636255,1.39006082721616,2.9851539596244,21.1815769230769,21.1815769230769,50.0350833333333,1521.90425,1676.25116666667,42.3334498754912,42.3334498754912,NA,NA,52,6028.09382,0,27.5,17,0,"N.A."
"ID","2018.1",2018,1,35984.532,89559.186,136514.551,1989.587,41,2009.1,1972.4,18115,62471,63591,7699,35,2008.4,1972.3,11189,27357,35438,3737,33,2009.1,2017.3,129700,352480,572603,53062,40,2009.1,1972.4,115708,292968,511439,40048,40,2009.1,1972.4,3639,9503,14479,920,33,2009.2,1972.4,0.31821987074306,0.525629061540289,0.219822630973887,29,1983.2,1979.3,10.7090689768615,17.13,9.74,50,2010.1,1971.1,324.237019003312,318.540571758591,324.2,45.3,34,2018.1,1971.3,41.3444223184331,0,0,8752.811,31,2010.3,0,0,6825,28,1982.2,0,0,50961,30,1983.1,0,0,3966,29.5,1982.4,3273.72102204189,44,12,171899.56826,39,89559.186,44,27631770.971,41,14858186.501,34,770.455974218732,50,1.14856123920988,41,0.788580266380591,14,37800,5,584914.2933,30,2.64231894555661,7,"0.83","11",78.3724354037787,6,0,27.5,0,1,1,1,0,27.5,3407955.351,7061563.429,1.49022957463425,26,3.48520048541255,41,29.4183333333333,40,10.2670769230769,40,34.9002671454658,20,10.2670769230769,40,34.9002671454658,20,707.365,39,844.093,39,"Idaho",3737,21640837.119,"1.44","10",5595558.109,40,22136400.0846153,1.00011744408016,3.02430581169234,6.91469230769231,6.91469230769231,25.4060833333333,689.69575,839.934166666667,27.2166796312917,27.2166796312917,54.517,53.47475,36,3276.76614,0,27.5,30,0,"N.A."
"IL","2018.1",2018,1,615860.551,1841117.964,1265652.64,33424.966,3,2009.2,1973.3,132689,525705,376470,107814,6,1982.1,2017.3,98356,283842,225814,45457,4,2009.1,1973.4,1760357,5556648,4118663,609793,4,2009.2,1973.4,1566636,4893092,3821063,563654,4,2009.2,1973.4,23538,100840,118250,12720,5,2009.3,1972.4,0.341891933126969,0.562754885017297,0.280338228291226,21,2010.1,1974.1,17.2387877762981,22.41,11.69,11,2010.2,1975.1,394.703737280903,378.201249726437,394.7,51,12,2018.1,1971.3,34.278775559579,1.909,7.887,176191.058,5,2010.4,0,0,87362,28,1980.3,0,0,837469,30,1982.2,1,1,52597,4,1980.4,6486.41837360222,6,30,2030855.66966,6,1841117.964,6,334851039.078,5,66698478.947,7,1103.31026576225,8,2.84232613086489,10,0.692932476441373,21,12960,30,1246770.408,12,0.452284562049909,44,"0.21","41",8.12617398153854,46,0,27.5,0,1,1,1,0,27.5,7968154.486,80126813.81,2.36364646568754,11,4.88726066741652,14,315.83,6,135.979923076923,4,43.0547836104623,14,135.979923076923,4,43.0547836104623,15,5863.194,5,6462.31133333333,5,"Illinois",56443,273589182.273,"0.37","42",65327171.367,5,275660615.597669,1.83844404160694,4.7867654651264,107.448673076923,107.448673076923,310.682666666667,5836.47525,6490.15741666667,34.5847015637359,34.5847015637359,323.975,322.50525,5,7996.0355,0,27.5,12,0,"N.A."
"IN","2018.1",2018,1,87050.546,260572.456,567088.607,8800.368,21,2009.1,1973.3,40505,152655,246275,33302,20,2008.4,2017.2,25429,71539,145270,14237,18,2009.1,1976.3,367326,1181113,2096749,213820,20,2009.1,1973.3,296932,916605,1898328,191546,21,2009.1,2017.3,3488,15095,65129,3488,34,2009.2,2018.1,0.19411295715241,0.606537993525527,0.19411295715241,49,2009.2,2018.1,12.8126616251276,18.64,8.6,40,2010.1,1974.1,295.415137606805,286.571029536241,310.7,40.3,38,2009.2,1971.2,32.77617849349,0,0.145,75663.504,31,2010.3,0,0,59314,28,1983.1,0,0,384295,30,1983.1,0,2,26438,29.5,1975.3,3642.38325948084,39,32,554895.94447,20,260572.456,24,135129404.188,19,27053014.767,23,874.327156819578,35,1.98405267443515,22,0.489034073597115,35,9500,38.5,352290.9559,42,0.317191578905877,48,"0.16","43",16.2238616302561,41,0,27.5,0,1,1,1,0,27.5,3129308.286,33212014.007,0.965240961537936,37,3.51980925519832,39,116.652333333333,19,28.3583846153846,20,24.3101734916444,34,28.3583846153846,20,24.3101734916444,34,2985.007,15,3314.16633333333,16,"Indiana",15831,109756373.222,"0.23","47",26929477.57,19,111065671.136414,0.768535169926634,3.3690236205721,22.8247115384615,22.8247115384615,111.966166666667,2972.1625,3323.00691666667,20.3853648097221,20.3853648097221,130.549,129.847,22,2065.68402,0,27.5,43,0,"N.A."
"KS","2018.1",2018,1,52658.072,170537.202,216603.119,3918.72,27,2009.2,1973.3,27164,105475,77861,13080,30,2009.4,1973.2,13840,41251,37986,6024,31,2009.1,1973.2,174029,577432,678118,94514,33,2009.2,1973.3,139244,456561,603990,74015,35,2009.2,1973.3,4272,16824,19641,1499,29,2009.4,1973.4,0.370311674590597,0.588332777839499,0.205795239624594,17,2009.4,1980.1,11.0678771423723,19.41,10.45,49,2010.2,1973.4,386.304987030242,381.182122698739,386.3,50.5,14,2018.1,1971.3,44.5504291834228,0,0,17958.861,31,2010.4,0,0,7790,28,1982.3,0,0,61797,30,1980.4,0,0,6529,29.5,2010.4,4134.13497854597,34,5,255090.73321,29,170537.202,30,59859207.18,33,21873851.341,27,855.619417557883,40,1.12959386597305,42,0.452207108944156,37,14000,26,625111.7783,28,1.14489627955015,24,"0.58","22",43.9865393100562,23,0,27.5,0,1,1,1,0,27.5,3249230.692,14418597.279,1.00284114024551,36,3.50341026574346,40,51.429,36,13.4678461538462,33,26.1872604053086,28,13.4678461538462,33,26.1872604053086,28,1336.118,32,1467.96966666667,33,"Kansas",9201,54639937.788,"1.05","21",13135103.543,32,54599861.0935846,0.825390158116878,3.50532526222857,11.1860576923077,11.1860576923077,51.7855833333333,1345.38625,1477.13,21.6007177524782,21.6007177524782,74.667,74.03925,31,3550.77832,0,27.5,28,0,"N.A."
"KY","2018.1",2018,1,88172.09,286113.152,313555.174,7436.06,19,2009.1,1972.3,37334,158939,169794,23443,23,2009.1,1973.2,16545,47690,110332,9526,25,1994.1,2017.4,299057,998268,1093522,93053,24,2009.1,1973.3,263152,879401,1075649,147330,24,2009.1,1973.3,4064,16232,27544,2882,32,2009.3,1972.4,0.328942568799903,0.475443675594272,0.128127189108519,26,2013.3,1995.2,18.439945481233,22.07,8.9,2,2013.3,1994.1,340.873712804346,332.666100734351,340.9,46.3,27,2018.1,1971.2,38.8737133033997,0,0,45449.156,31,2010.4,0,0,37682,28,1976.2,0,0,252175,30,1983.1,0,0,14588,29.5,1983.1,5999.43703082407,11,21,484283.12027,25,286113.152,22,81643470.525,28,17436832.804,31,855.761059248379,39,2.59693132399665,13,0.696234343437291,20,10200,36,400152.3703,40,0.61310888691338,42,"0.23","40",16.7829699894397,40,0,27.5,0,1,1,1,0,27.5,2054495.894,19596294.091,1.26552779589192,31,4.49168737344239,21,92.0036666666667,26,23.3113076923077,24,25.3373681037796,31,23.3113076923077,24,25.3373681037796,31,1819.833,27,2048.30966666667,27,"Kentucky",11367,65038815.92,"0.42","40",15846278.364,28,65266118.1139482,1.05033797307902,4.56529159474695,19.5305,19.5305,93.81,1834.70225,2053.83175,20.819209039548,20.819209039548,93.892,93.414,27,2330.86585,0,27.5,39,0,"N.A."
"LA","2018.1",2018,1,36406.057,160491.927,468739.503,11866.466,40,2005.4,1972.3,24040,111466,228256,22617,31,2005.3,2017.1,10331,46372,144081,10331,36,2005.3,2018.1,155745,782667,2775877,155745,36,2005.4,2018.1,171094,760590,2457505,171094,30,2005.4,2018.1,4101,17341,70297,4101,30,2006.1,2018.1,0.339128564164744,0.631127543687117,0.194931238211819,23,1987.1,2007.1,16.4019235745709,27.07,7.87,14,2006.4,2005.3,215.062367902994,212.935700445965,233.2,45.9,51,2009.3,1971.1,24.1491253377807,0,0,45477.479,31,1986.3,0,0,28301,28,1982.3,0,0,354101,30,1986.3,0,0,26548,29.5,1986.3,3460.96625118606,42,50,215696.83157,34,160491.927,32,85952189.931,26,14650846.082,35,881.753262147481,32,1.56681844662901,31,0.327660217650826,45,7700,49,894933.1204,20,1.27823698978571,22,"0.41","32",66.9142532309429,10,0,27.5,0,1,1,1,0,27.5,1647651.879,20884140.381,0.641921406019112,50,4.26879327072934,28,90.7526666666667,28,12.0216923076923,36,13.2466546155033,49,12.0216923076923,37,13.2466546155033,49,1864.939,25,2125.956,25,"Louisiana",12705,70057988.927,"1.3","13",17014560.669,26,70013082.6717849,0.802525904522616,4.79174123219619,15.1154038461538,15.1154038461538,101.609166666667,1874.591,2120.36208333333,14.8760238293662,14.8760238293662,100.174,99.761,26,5038.76026,0,27.5,20,0,"N.A."
"MA","2018.1",2018,1,491868.954,1502629.204,798741.337,46837.699,7,2009.1,1972.4,84287,321026,256217,62785,12,1974.4,2017.3,59239,173728,157733,30738,9,1975.1,1987.2,1085985,3526295,2421836,585927,7,1975.1,1987.4,984703,3024575,2159531,518866,7,1975.1,1987.4,14643,57407,59185,10557,9,2009.3,1984.4,0.32067366774662,0.570320285332675,0.24233143238773,28,2009.4,1985.3,17.4098303094493,21.43,14.19,9,2010.1,1985.2,510.837604501069,509.865246201161,518.2,56.9,1,2017.4,1971.2,38.3947665974517,0,4.066,142808.791,31,2011.1,0,0,56008,28,1991.2,0,2,525167,30,1975.3,0,0,35966,29.5,1976.4,8649.32080033155,1,22,1472773.6419,7,1502629.204,7,240512441.443,9,51765768.584,10,1327.95506102908,3,2.66248539083026,12,0.71358091054523,18,15000,22,673413.246,25,0.3444362186373,46,"0.16","43",5.37787960628509,48,0,27.5,0,1,1,1,0,27.5,7486191.562,57699583.201,2.45018110608118,9,3.95354269405152,33,146.011,16,83.8232307692308,7,57.4088464357006,3,83.8290769230769,7,57.412850348999,3,3517.097,13,3693.16866666667,14,"Massachusetts",38433,193146426.093,"0.27","45",46295784.004,9,195511740.508661,1.96192802065799,3.62103235045854,68.1703653846154,68.1662115384615,132.944916666667,3482.97875,3669.74441666667,51.2771507883517,51.2740263017162,224.184,222.26275,11,4750.01246,0,27.5,21,0,"N.A."
"MD","2018.1",2018,1,143830.364,502526.575,292557.256,12029.011,15,2009.1,1973.3,47172,187987,117122,37958,18,1975.1,1973.2,24962,78615,70645,14868,19,1975.1,1973.2,433400,1625876,1063981,251067,15,2009.1,1973.4,423427,1496206,959709,202353,14,2009.1,1973.4,7079,30590,28707,3394,19,2009.3,1973.4,0.377826908587873,0.523392165393748,0.184011398936217,16,2010.1,1979.3,19.032067671564,19.58,11.38,1,2010.1,1974.4,339.584134669044,342.099854765039,346.7,52.8,28,2017.4,1971.2,31.3876327230364,0,0,77735.389,31,2011.4,0,0,29539,28,2011.4,0,0,269571,30,2011.4,0,0,24966,29.5,2012.1,6392.24798066527,7,34,550856.96239,21,502526.575,13,141821176.046,16,21024446.69,28,1089.91926146109,9,2.31016618492517,16,0.434043884289848,38,8500,45,1042552.371,17,0.92479348597249,32,"0.44","29",24.8954564283491,36,0,27.5,0,1,1,1,0,27.5,2475758.339,34329387.65,1.35265581672743,29,4.58790475693244,18,147.630333333333,15,33.6823076923077,15,22.815302879698,36,33.6823076923077,15,22.815302879698,36,2502.835,22,3217.816,18,"Maryland",17339,111901048.622,"0.81","32",27165624.855,18,112733533.141583,1.25641306769884,4.16544408858243,31.6386730769231,31.6386730769231,134.325333333333,2502.32325,3224.78341666667,23.5537647975982,23.5537647975982,147.793,146.864,17,6030.78221,0,27.5,16,0,"N.A."
"ME","2018.1",2018,1,33159.329,85861.899,81223.311,4084.171,44,2009.1,1973.4,11935,39105,56157,6801,43,1975.1,2017.3,7995,20670,35621,3274,40,1975.1,2017.3,111179,312400,445345,53883,43,1991.1,2017.3,102118,269966,385026,46014,43,1991.1,2017.3,1241,5498,10511,1081,48,1975.2,2017.3,0.246160734273562,0.645314438400611,0.198484970585865,48,1983.3,1988.3,13.0607643928399,18.67,10.12,39,1983.3,1980.1,328.936202826573,326.502743199358,328.9,46.4,29,2018.1,1971.3,39.7128487830652,0,0,11748.416,31,1991.2,0,0,9967,28,1975.2,0,0,79530,30,1991.2,0,0,6467,29.5,1975.2,4153.93802612482,33,17,111630.84827,46,85861.899,45,25319698.057,43,5889842.825,47,822.158956621084,44,1.8248167598598,25,0.583319176713796,28,12000,33,406939.3967,39,2.18975959094809,9,"0.79","13",56.8735704343087,15,0,27.5,0,1,1,1,0,27.5,851121.833,6416038.476,1.4990212050443,25,3.26561454283664,45,22.5593333333333,45,8.61153846153846,43,38.1728410777733,16,8.61153846153846,43,38.1728410777733,16,610.694,43,690.814333333333,42,"Maine",3274,18425390.985,"1.18","16",4681435.684,43,18583747.6580618,1.02436406423416,3.1037290139392,6.05340384615385,6.05340384615385,21.7355,592.24225,700.490333333333,27.8503086938596,27.8503086938596,45.965,46.15825,38,2333.89533,0,27.5,38,0,"N.A."
"MI","2018.1",2018,1,297364.262,780182.635,1144369.773,37945.526,10,2009.1,1973.3,124034,467936,634212,82033,7,1980.2,2017.2,75414,216949,302813,37863,7,1975.1,2017.2,1071757,2992397,4132117,616640,8,1980.1,2017.3,967438,2607589,4105400,524584,8,1975.1,2017.4,17402,70411,113314,13846,8,2009.3,2017.3,0.311551718797704,0.540942200441865,0.209376127651371,33,2010.1,1999.3,12.0193639979903,21.45,10.13,45,2010.1,2001.1,315.436145046468,308.655822840119,315.4,57.2,35,2018.1,1971.4,31.0349830826615,0,0,217641.185,31,2010.3,0,0,150923,28,1977.1,0,0,997967,30,1980.3,0,0,58927,29.5,1975.3,3596.15686175092,40,35,1227316.58454,9,780182.635,11,218966885.364,10,36756300.927,15,994.541617818886,19,3.37346491547838,5,0.703964717216879,19,9000,42,3509713.706,4,1.97098005262942,13,"N.A.","N.A.",53.9829555063091,16,0,27.5,0,1,1,1,0,27.5,4129307.742,53100907.385,1.98266040450374,16,5.03674373595679,9,245.428333333333,8,82.7482307692308,8,33.7158426842449,22,82.7482307692308,8,33.7158426842449,22,4263.058,8,4872.758,10,"Michigan",52865,176139639.626,"N.A.","N.A.",42619069.362,11,178069468.603592,1.37012681836679,4.57696417465487,57.8005192307692,57.8005192307692,223.781583333333,4234.0125,4888.126,25.8289884135249,25.8289884135249,217.735,216.442,14,20062.09079,0,27.5,4,1955600,"Sep. 2012"
"MN","2018.1",2018,1,322916.22,790112.388,487854.009,10433.583,8,2009.1,1971.3,55930,209891,134061,30416,16,2009.4,1973.2,42475,110124,92782,14570,11,2009.1,1973.3,863524,2270449,1608943,149688,10,2009.1,1973.3,722924,1799030,1409108,199220,10,2009.1,1973.3,9971,36220,41161,4658,13,2009.3,1978.3,0.316163441310743,0.580373422508858,0.248336149685166,32,2010.1,1999.4,16.3364026007047,21.39,12.94,15,2010.2,1971.1,455.512604665407,450.261268772654,455.5,48.4,5,2018.1,1971.3,42.2055859060037,0,0,67390.737,31,2010.3,0,0,37237,28,1983.2,0,0,285386,30,1983.2,0,0,13855,29.5,1975.2,7174.75198866732,5,10,742857.4385,14,790112.388,10,156181387.166,15,58853115.72,9,1066.82861784085,11,1.26222661266437,38,0.61542829541148,27,32000,9,1396894.211,11,1.14350736466098,25,"0.65","20",21.2156280379697,38,0,27.5,0,1,1,1,0,27.5,10537402.082,37886771.655,2.40175128555484,10,3.89095170619132,36,120.554666666667,17,66.622,10,55.2628959476197,5,66.622,10,55.2628959476197,5,2837.559,17,3098.33366666667,20,"Minnesota",15218,120706131.736,"0.91","28",29251888.399,16,122158741.969637,1.56412671193269,3.31394727137929,43.8253269230769,43.8253269230769,102.019166666667,2815.34275,3077.12525,42.9579346264118,42.9579346264118,133.471,132.57575,20,8421.75517,0,27.5,10,0,"N.A."
"MO","2018.1",2018,1,90097.108,283133.848,298236.456,13288.804,18,2009.2,1973.3,60904,224397,231277,48298,14,1975.1,2017.3,31161,90267,102722,18567,16,1975.1,2016.2,395166,1330681,7442287,291099,18,1974.2,2016.2,345810,1106921,1199748,229717,19,2009.1,2016.2,7823,30920,37524,5746,17,2009.3,1973.4,0.332315893555737,0.536483344337321,0.231571927921854,25,2010.1,1974.3,12.2627427520578,19.56,10.42,44,2010.2,1979.3,268.021147291409,262.649744064552,268.6,49.1,42,2017.4,1971.3,29.3266305179177,0,0,37999.501,31,2009.3,0,0,30055,28,1975.3,0,0,238666,30,1980.3,0,0,18794,29.5,1975.4,3136.62631969601,45,40,419982.04629,26,283133.848,23,126818294.295,22,30395988.402,18,895.601504250824,31,1.36971209323335,37,0.413762797134049,40,13000,29,795066.9419,21,0.783884320704012,37,"0.4","33",33.6971484341922,31,0,27.5,0,1,1,1,0,27.5,3875244.361,30661364.249,1.13022185544054,33,3.93758247846875,34,119.013666666667,18,30.6602307692308,18,25.7619411517703,30,30.6602307692308,18,25.7619411517703,30,2714.705,19,3022.506,22,"Missouri",20186,100622272.443,"0.71","35",24525731.874,22,101426565.234261,0.944930308288515,3.63415938070957,25.9341346153846,25.9341346153846,110.697166666667,2723.101,3045.41325,23.4280021759526,23.4280021759526,167.447,162.732,16,4520.76281,0,27.5,23,0,"N.A."
"MS","2018.1",2018,1,17647.907,77422.757,99628.414,1738.307,50,2005.4,1972.4,12466,62510,107300,9352,41,1982.1,1972.3,6135,27612,46604,3605,45,1982.1,1972.3,99558,469728,636950,56020,47,1983.1,1972.4,85779,383747,545032,43771,47,1983.1,1972.4,1854,7772,14442,903,44,2009.3,1973.4,0.264380719120999,0.482650838597255,0.192744724398334,44,2010.3,1974.3,13.8978342749529,18.86,8.48,34,2010.1,1974.4,209.860825873802,206.119053813145,209.9,32,52,2018.1,1974.1,28.2960763395164,0,0,8432.545,31,1983.2,0,0,10896,28,1975.3,0,0,107082,30,1983.2,0,0,6468,29.5,1983.1,2803.95324496596,49,41,114426.32388,45,77422.757,46,41726030.342,37,12782667.559,37,728.436873508476,52,0.652344705165151,52,0.255482001296822,49,14000,26,652895.2242,26,2.00051629943797,12,"1","7",101.194312809088,4,0,27.5,0,1,1,1,0,27.5,1775533.41,10237148.459,0.699728150574177,49,4.43374375068231,24,56.1816666666667,33,7.75769230769231,47,13.8082274307021,47,7.75769230769231,47,13.8082274307021,47,1099.513,35,1267.13833333333,35,"Mississippi",8122,32639111.396,"1.86","4",8027521.089,36,32636336.1489945,0.821165206824324,4.82551104382596,9.13257692307692,9.1325,61.6560833333333,1101.56925,1277.16033333333,14.8121262807162,14.8120015191797,56.501,56.101,35,3652.63067,0,27.5,26,0,"N.A."
"MT","2018.1",2018,1,43522.411,104380.492,65851.618,1266.878,35,2010.1,1971.3,12463,48345,32181,6587,42,2009.4,1971.2,8264,21556,16260,2169,39,2009.1,1971.3,144922,382766,306434,42972,38,2010.1,1971.3,134026,331846,266683,31660,36,2010.1,1971.3,2599,7762,6391,1032,39,2009.2,1971.4,0.341517071453713,0.577425063599159,0.252344326203772,22,2010.4,1978.3,15.3946001113379,22.11,12.14,23,2010.2,1972.3,353.079112106314,343.020990967098,353.1,37.9,21,2018.1,1971.2,43.5683801930171,0,0,3722.33,31,1983.1,0,0,6104,28,1982.2,0,0,35423,30,1980.3,0,0,3058,29.5,1983.2,4842.29411764706,26,6,101300.55152,48,104380.492,43,18231120.779,48,10068932.811,39,787.316373588926,49,1.11394100154752,46,0.745519122084511,16,31400,10,291504.1155,46,1.91260287917925,15,"0.67","19",33.512482255784,32,0,27.5,0,1,1,1,0,27.5,2243768.617,4517285.117,2.56130423233247,7,4.93314381200269,13,25.694,43,11.6801538461538,37,45.4586823622396,10,11.6801538461538,38,45.4586823622396,10,449.001,46,520.844333333333,45,"Montana",2808,15044814.771,"1.39","11",3829661.469,48,15241225.3831329,1.66714319104801,4.06896451200172,7.62278846153846,7.62278846153846,21.3778333333333,445.30825,525.840416666667,35.6574417186267,35.6574417186267,41.341,40.84525,40,1702.89316,0,27.5,45,0,"N.A."
